;text;option_1;option_2;option_3;option_4;N;Type;Order;Keywords
q470;Do you enjoy crossword puzzles or jumbled word puzzles?;Yes;No;;;7677;O;;preference
q471;Do you know how to use a darkroom to develop negatives and prints?;Yes;No;;;10742;O;;descriptive
q472;Have you ever fully read a book over 1000 pages?;Yes;No;;;1955;O;;descriptive
q473;Do you have (or are you getting) a degree from one of the 8 ivy league universities, MIT, Stanford, Duke, U Chicago, or Caltech?;Yes;No;My degree is not from the U.S.;;14874;N;;descriptive
q476;Do you wear a lot of black?;Yes;No;;;13925;O;;descriptive
q477;Which is longer?;A mile;A kilometer;I don't know!;;26608;N;;cognitive
q478;Does the idea of childbirth disgust you?;Yes;No;;;19581;O;;"sex/intimacy; preference; opinion"
q484;Do you have strong feelings about what kind of computer you use? (Apple, PC, or UNIX, for example);Yes;No;;;15625;O;;"descriptive; technology"
q485;Do you know and enjoy chess?;Yes;No;;;9707;O;;"preference; descriptive"
q486;Is a welfare system a good idea? Or does taxing for it just take money away from hard-working people who earned it?;Welfare is mostly good;Welfare is mostly bad;;;24191;O;;politics
q487;Have you ever quit a job without giving at least a week notice?;Yes;No;;;10249;O;;descriptive
q488;Do you make impulse purchases a lot, like gadgets you don't need, or clothes that are too expensive?;Yes;No;;;1285;O;;descriptive
q489;Have you ever been fired from a job?;Yes;No;;;11328;O;;descriptive
q491;What would be more likely to bother you in a relationship?;Not enough space;Not enough affection;;;31548;N;;"sex/intimacy; preference; descriptive"
q494;Do you own a record player?;Yes;No;;;10094;O;;descriptive
q496;When a relationship ends, what's the best thing to do?;Try and be friends with your ex;Go your separate ways;;;23651;O;;"sex/intimacy; opinion"
q499;Could you date someone who used anti-depressants?;Yes;No;;;26238;O;;"sex/intimacy; preference"
q501;Have you smoked a cigarette in the last 6 months?;Yes;No;;;57123;O;;descriptive
q508;Do you like holding hands?;Yes;No;;;17018;O;;"sex/intimacy; preference"
q511;If you flipped three pennies, what would be the odds that they all came out the same?;I admit, I don't know!;1 in 3;1 in 4;1 in 8;14055;N;;cognitive
q512;Do you like to dance?;Yes;No;;;23504;O;;preference
q513;Have you ever dyed your hair a real crazy, unnatural color?;Yes;No;;;18045;O;;descriptive
q525;Do you play any musical instruments?;Yes;No;;;11164;O;;descriptive
q527;Is marriage a necessity for two people who love each other?;Yes;No;;;35270;O;;"sex/intimacy; religion/superstition"
q531;Would you rather play Scrabble, go out dancing, or get drunk?;Scrabble;Dancing;Booze;;29621;N;;preference
q535;Is it REALLY better to have loved and lost?;Yes;No;;;7360;O;;"sex/intimacy; preference"
q536;Which is worse: being too much of a dreamer or too cynical?;too much of a dreamer;too cynical;;;19142;O;;opinion
q538;Would you ever record a video of yourself having sex?;Yes;No;;;25806;O;;sex/intimacy
q542;Roughly how many books have you read in the past year?;Less than five;Between five and fifteen;Between sixteen and fifty;Fifty or more;25710;O;;descriptive
q546;Would you date a transgender person?;Yes;No;;;25729;O;;"sex/intimacy; preference"
q548;Do you like punk rock?;Yes;No;When I was younger;;19103;N;;preference
q553;Do spelling mistakes annoy you?;Yes;No;;;53159;O;;preference
q564;Can you name five current world leaders?;Yes;No;;;11132;O;;descriptive
q577;How many dates does it take for a potential significant other to get a good sense of who you are as a person?;Less than five;More than five;;;24163;O;;sex/intimacy
q579;Do you feel that animals are more important than humans?;Yes;No;;;17160;O;;"politics; opinion"
q585;Which is more important to your life, passion or happiness?;Passion;Happiness;;;6496;N;;preference
q594;Can anything be made the subject of a joke?;Yes, anything can be funny in the right light.;No, some subjects should not be joked about.;;;36996;O;;"politics; opinion"
q597;Should freedom of speech allow the expression of all viewpoints, even extreme and widely-offensive ones?;Yes;No;;;3260;O;;politics
q602;Have you ever gone skydiving?;Yes, and I enjoyed it.;Yes, but I did not like it.;No, but I would like to some day.;No, and I do not want to.;17900;O;;descriptive
q605;Would you date someone who was looking for true love - but no sex, at all, ever?;Yes;No;;;23360;O;;sex/intimacy
q612;Should evolution and creationism be taught side-by-side in school?;Yes, students should hear both sides;No, creationism has no place in schools;No, evolution has no place in schools;;44907;O;2, 1, 3;"politics; religion/superstition"
q614;If you could have brilliant skill at something, would you prefer:;something practical?;something fun?;;;35755;O;;preference
q617;If evil forces made you choose to either watch tv OR read books for the rest of your life, you would:;watch tv;read books;;;23014;N;;preference
q627;Would you have a sexual relationship with a friend even if you both knew you were romantically incompatible?;Yes;No;;;15051;O;;sex/intimacy
q634;Have you ever attended -- or would you attend -- a Sci-Fi/Anime/etc convention?;Yes;No;;;7708;O;;"preference; descriptive"
q637;Have you ever had sex in a place where there was a high risk of being caught?;Yes;No, but it sounds like fun;No, I don't think I could do it;;28379;O;;"sex/intimacy; preference; descriptive"
q647;Politics: Should the US be forced to abide by the WOMD rules it sets for other countries? This includes biological, nuclear and other weapons of mass destruction that the US claims to have a right to have.;Yes;No;Unsure / Don't Care;;3731;O;1, 3, 2;politics
q656;Has Christianity made the world better or worse?;Better;Worse;No opinion / Not sure;;12312;O;1, 3, 2;"politics; religion/superstition"
q665;Are you fetish-friendly?;Bring out the toys!;Never tried it, but I'm open-minded.;Not sure/don't know what they really are.;Ew!;27406;O;;sex/intimacy
q678;Do you think that people should be allowed to marry more than one person at a time?;Yes;No;I don't know;;14857;O;1, 3, 2;"politics; sex/intimacy; religion/superstition "
q712;Do you think a girl with hairy underarms is necessarily unattractive?;Yes;No;;;15342;O;;opinion
q723;Would you consider dating someone who had a very shady, questionable past?;Yes;No;;;3237;O;;preference
q744;Do you consider yourself a truly honest person, in all aspects of your life?;Yes;No;;;3562;O;;descriptive
q763;Do you believe in karma?;Yes;No;;;25417;O;;religion/superstition
q784;Would you be okay with your significant other spending a lot of time with one of his/her exes (as a friend)?;Yes;No;;;38166;O;;"sex/intimacy; preference"
q838;For you personally, is abortion an option in case of an accidental pregnancy?;Yes;No;;;44461;O;;"politics; religion/superstition; opinion"
q854;Do you wish things like vampires, fairies, werewolves, ghosts, or something along those lines were real?;Yes;No;;;20669;O;;"religion/superstition; preference"
q868;Is it wrong to cultivate or manufacture illegal drugs?;Yes, always;No, never;Sometimes;;16763;O;1, 3, 2;politics
q872;What's more important?;Safety;Freedom;;;6121;O;;politics
q887;Do you enjoy crude humor, dirty jokes, and the like?;Yes, and I often try to push the boundaries!;Usually, yes.;Not in most cases, no.;Absolutely not at all.;31593;O;;preference
q889;Do you prefer to pursue a potential partner, or for them to pursue you?;I'd rather pursue.;I'd rather be pursued.;I prefer a little of both.;;11401;O;1, 3, 2;"sex/intimacy; preference"
q898;Is it possible to have a true relationship, friend or otherwise, with someone you've never met in person?;Yes;No;;;23078;O;;"sex/intimacy; opinion"
q913;Would you rather have your dream job or your soul mate for the rest of your life?;Dream Job;Soul Mate;;;20148;O;;preference
q946;Do you consider yourself to be good at clear verbal communication?;Yes;No;Sometimes;;10760;O;1, 3, 2;descriptive
q963;Is foreplay necessary for good sex?;Yes;No;;;31118;O;;sex/intimacy
q979;How many children would you ideally like to have?;None;1-2;3-4;5 or more!;36507;O;;"sex/intimacy; preference"
q986;Do you believe in an afterlife/life after death/resurrection?;Yes;No;I'm Not Sure;;26714;O;1, 3, 2;religion/superstition
q997;Are you a cat person or a dog person?;Cats;Dogs;Both;Neither;54746;N;;preference
q1011;Do you know what a 'safeword' is, in a sexual context?;Yes;No;;;19649;O;;sex/intimacy
q1028;Is your ideal sex rough or gentle?;Rough;Gentle;I enjoy both equally;I'm a virgin;37097;M;2, 3, 1, [4];sex/intimacy
q1040;Receiving anal sex?;I like it / I think I might like it;I don't like it / I don't think I would like it;;;28476;O;;sex/intimacy
q1049;Would you prefer the lights on or off during sex?;On;Off;It's exactly the same to me;;28621;O;1, 3, 2;sex/intimacy
q1052;How often do you get angry?;Very often;Sometimes;Rarely;;37223;O;;descriptive
q1055;People who are convicted of morally heinous crimes (child molestors, for example) deserve to have bad things happen to them in prison.;True;False;Maybe / I don't know;;8285;O;1, 3, 2;"politics; religion/superstition; opinion"
q1062;How frequently do you bathe or shower?;At least once a day.;Usually daily.  I skip some.;A couple times a week.;Once a week or less.;41649;O;;descriptive
q1081;Would you prefer to be a financial success or to remain true to your principles?;Financial success, please.;I'll stick with my principles, thanks.;;;21491;O;;"preference; descriptive"
q1099;Are you smarter than most people?;Yes;No;;;36529;O;;"descriptive; cognitive"
q1100;Are you better looking than most people?;Yes;No;;;10920;O;;descriptive
q1101;Do you think most people would prefer to be a lot more like you?;Yes;No;;;8156;O;;opinion
q1102;Do you feel that you're usually at least one step ahead of most people you talk to?;Yes;No;;;8559;O;;"opinion; cognitive"
q1103;Are you naturally a lot better at games than most people?;Yes;No;;;6671;O;;descriptive
q1104;Are you a genius?;Yes;No;;;17707;O;;"descriptive; cognitive"
q1112;Do you like the taste of beer?;Yes;No;;;32538;O;;preference
q1117;Would you date someone with a mental illness?;Yes;Depends on the illness;Only if they're symptom free through treatment;No;12443;M;1, (2, 3), 4;preference
q1119;Does your partner have to be an active reader?;Yes;No;;;30205;O;;preference
q1121;Have you ever had multiple romantic partners during the same time period?;Yes, and they both knew.;Yes, and I didn't tell at least one of them.;No.;;12826;O;;sex/intimacy
q1122;How often do you use profane language?;Never;Once in a while;Often;Almost always;26641;O;;descriptive
q1124;Would you say your actions are guided more by your head or your heart?;Head;Heart;Genitalia;;12903;N;;descriptive
q1128;Would you date someone who was already in a committed relationship with someone else?;Yes, even in secret.;Yes, but only if everybody knew.;No, but I don't think it's inherently wrong.;No, it's wrong.;34032;N;;"sex/intimacy; preference"
q1129;A homeless person asks you for some change. You:;Ignore them completely;Refuse politely;Threaten them or insult them;Give them some loose change.;6746;N;;descriptive
q1132;Would you ever consider cutting a partner (who asked for it) in sexual play?;Yes;Maybe;No;;32264;O;;sex/intimacy
q1133;Do you have rape fantasies?;Yes;No;;;28546;O;;sex/intimacy
q1134;Do you have a desire (even if it's secret) to take part in sexual activities involving bondage?;Yes;No;Absolutely not.;;26109;O;;"sex/intimacy; BDSM"
q1138;Have you ever been to prison?;Yes;No;Just to visit / I was working;;15236;O;1, 3, 2;descriptive
q1146;Is taking care of your body important to you?;Yes;No;;;8873;O;;opinion
q1153;Sexually explicit art or song lyrics should be;Embraced as an art form;Accepted as free expression;Censored to protect society;;14266;N;;"politics; opinion"
q1158;Are you married, engaged to be married, or in a relationship that you believe will lead to marriage?;Yes;No;;;25211;O;;"sex/intimacy; descriptive"
q1172;Do you own any dice with more than six sides?;Yes;No;;;28736;O;;descriptive
q1173;Are you more attracted to virgins?;Yes;No;I AM a virgin;;28467;N;;"sex/intimacy; preference"
q1179;Do you like traveling?;Yes;No;;;20169;O;;preference
q1185;In a serious relationship, do you feel it's important to keep your significant other informed of the details of your day-to-day life?;Yes;No;Some;I don't do serious relationships;36121;M;2, 3, 1, [4];"sex/intimacy; preference; opinion"
q1187;Break-ups. Which has happened more?;Usually I break up with them;Usually they break up with me;It's been equal on both sides.;;10340;O;1, 3, 2;"sex/intimacy; descriptive"
q1201;What is next in this series? 1, 4, 10, 19, 31, _;36;48;46;Don't know / don't care;41094;N;;cognitive
q1202;Do you spend money on a partner, buying gifts, paying for events and the like?;Yes, all the time, for just about any reason.;Sometimes, on special occasions.;Only when absolutely necessary.;No, not at all.;9743;O;;descriptive
q1212;Do you like dogs?  Would you consider owning a dog as a pet?;Yes, I would love (or do own) a dog.;I'm not too into them, but I wouldn't mind one.;No, I dislike dogs.;I like them, but I'm allergic.;14921;N;;"preference; descriptive"
q1222;In terms of relationships, which of these is it the most important to find?;Someone for whom you would do anything.;Someone who turns you on.;Someone you feel like you've known forever.;Someone with goals similar to yours.;22495;N;;"sex/intimacy; preference; opinion"
